Fecha,Producto bruto interno (millones US$) - PBI (millones US$),fecha_carga
T194,9473,2025-11-24
T294,10607,2025-11-24
T394,10668,2025-11-24
T494,11972,2025-11-24
T195,12096,2025-11-24
T295,13191,2025-11-24
T395,13040,2025-11-24
T495,13080,2025-11-24
T196,12761,2025-11-24
T296,13973,2025-11-24
T396,13259,2025-11-24
T496,13419,2025-11-24
T197,12964,2025-11-24
T297,14645,2025-11-24
T397,14303,2025-11-24
T497,14391,2025-11-24
T198,13660,2025-11-24
T298,14407,2025-11-24
T398,13381,2025-11-24
T498,12584,2025-11-24
T199,11570,2025-11-24
T299,12667,2025-11-24
T399,11934,2025-11-24
T499,12554,2025-11-24
T100,12431,2025-11-24
T200,13242,2025-11-24
T300,12428,2025-11-24
T400,12331,2025-11-24
T101,11854,2025-11-24
T201,13160,2025-11-24
T301,12743,2025-11-24
T401,13292,2025-11-24
T102,12765,2025-11-24
T202,14499,2025-11-24
T302,12987,2025-11-24
T402,13738,2025-11-24
T103,13787,2025-11-24
T203,15496,2025-11-24
T303,14335,2025-11-24
T403,14928,2025-11-24
T104,15233,2025-11-24
T204,17316,2025-11-24
T304,16045,2025-11-24
T404,17561,2025-11-24
T105,17283,2025-11-24
T205,19655,2025-11-24
T305,18248,2025-11-24
T405,19055,2025-11-24
T106,19607,2025-11-24
T206,22585,2025-11-24
T306,22112,2025-11-24
T406,23263,2025-11-24
T107,23004,2025-11-24
T207,25423,2025-11-24
T307,25613,2025-11-24
T407,28347,2025-11-24
T108,28393,2025-11-24
T208,32426,2025-11-24
T308,31074,2025-11-24
T408,29231,2025-11-24
T109,26497,2025-11-24
T209,30251,2025-11-24
T309,31319,2025-11-24
T409,34627,2025-11-24
T110,33322,2025-11-24
T210,37346,2025-11-24
T310,38148,2025-11-24
T410,40567,2025-11-24
T111,39062,2025-11-24
T211,42338,2025-11-24
T311,43731,2025-11-24
T411,45679,2025-11-24
T112,44197,2025-11-24
T212,47455,2025-11-24
T312,49457,2025-11-24
T412,52127,2025-11-24
T113,49240,2025-11-24
T213,51359,2025-11-24
T313,50034,2025-11-24
T413,52454,2025-11-24
T114,48217,2025-11-24
T214,51385,2025-11-24
T314,52176,2025-11-24
T414,52455,2025-11-24
T115,46546,2025-11-24
T215,49124,2025-11-24
T315,48654,2025-11-24
T415,50092,2025-11-24
T116,45249,2025-11-24
T216,50066,2025-11-24
T316,51108,2025-11-24
T416,52793,2025-11-24
T117,50525,2025-11-24
T217,54231,2025-11-24
T317,56267,2025-11-24
T417,58711,2025-11-24
T118,54393,2025-11-24
T218,58686,2025-11-24
T318,57255,2025-11-24
T418,59553,2025-11-24
T119,54629,2025-11-24
T219,59592,2025-11-24
T319,59985,2025-11-24
T419,62311,2025-11-24
T120,53020,2025-11-24
T220,41524,2025-11-24
T320,53987,2025-11-24
T420,61192,2025-11-24
T121,55168,2025-11-24
T221,57264,2025-11-24
T321,56770,2025-11-24
T421,60695,2025-11-24
T122,57566,2025-11-24
T222,62187,2025-11-24
T322,62047,2025-11-24
T422,66746,2025-11-24
T123,61671,2025-11-24
T223,68021,2025-11-24
T323,70248,2025-11-24
T423,72555,2025-11-24
T124,66444,2025-11-24
T224,73455,2025-11-24
T324,75900,2025-11-24
T424,80100,2025-11-24
T125,74261,2025-11-24
T225,81094,2025-11-24
T325,86716,2025-11-24
T194,9473,2025-11-25
T294,10607,2025-11-25
T394,10668,2025-11-25
T494,11972,2025-11-25
T195,12096,2025-11-25
T295,13191,2025-11-25
T395,13040,2025-11-25
T495,13080,2025-11-25
T196,12761,2025-11-25
T296,13973,2025-11-25
T396,13259,2025-11-25
T496,13419,2025-11-25
T197,12964,2025-11-25
T297,14645,2025-11-25
T397,14303,2025-11-25
T497,14391,2025-11-25
T198,13660,2025-11-25
T298,14407,2025-11-25
T398,13381,2025-11-25
T498,12584,2025-11-25
T199,11570,2025-11-25
T299,12667,2025-11-25
T399,11934,2025-11-25
T499,12554,2025-11-25
T100,12431,2025-11-25
T200,13242,2025-11-25
T300,12428,2025-11-25
T400,12331,2025-11-25
T101,11854,2025-11-25
T201,13160,2025-11-25
