fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2026-03-05,Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,-18.00,15.00,Mil,Jan 2026
2026-03-05,Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,41.00,8.00,Mil,Jan 2026
2026-03-05,Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,0.00,16.00,Mil,Jan 2026
2026-03-05,Reporte ADP De Empleo,63.00,11.00,Mil,Feb 2026
2026-03-05,Cambio de Empleo ADP (ADP) Semanal,12.75,11.50,Mil,Feb 2026
2026-03-05,Recortes de empleo Challenger,48307.00,108435.00,Personas,Feb 2026
2026-03-05,Peticiones extendidas de desempleo,1833.00,1864.00,Mil,Feb 2026
2026-03-05,Peticiones por desempleo,212.00,208.00,Mil,Feb 2026
2026-03-05,Jolts Vacantes de Empleo,6542.00,6928.00,Mil,Dec 2025
2026-03-05,Nóminas no agrícolas,130.00,48.00,Mil,Jan 2026
2026-03-05,Tasa de Desempleo,4.30,4.40,Por Ciento,Jan 2026
