Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz,fecha_carga
Jul01,113,2025-06-08
Ago01,112,2025-06-08
Sep01,107,2025-06-08
Oct01,106,2025-06-08
Nov01,113,2025-06-08
Dic01,112,2025-06-08
Ene02,116,2025-06-08
Feb02,113,2025-06-08
Mar02,113,2025-06-08
Abr02,108,2025-06-08
May02,115,2025-06-08
Jun02,117,2025-06-08
Jul02,123,2025-06-08
Ago02,133,2025-06-08
Sep02,132,2025-06-08
Oct02,133,2025-06-08
Nov02,133,2025-06-08
Dic02,129,2025-06-08
Ene03,130,2025-06-08
Feb03,127,2025-06-08
Mar03,127,2025-06-08
Abr03,126,2025-06-08
May03,130,2025-06-08
Jun03,129,2025-06-08
Jul03,117,2025-06-08
Ago03,127,2025-06-08
Sep03,124,2025-06-08
Oct03,132,2025-06-08
Nov03,135,2025-06-08
Dic03,134,2025-06-08
Ene04,141,2025-06-08
Feb04,146,2025-06-08
Mar04,152,2025-06-08
Abr04,153,2025-06-08
May04,150,2025-06-08
Jun04,139,2025-06-08
Jul04,122,2025-06-08
Ago04,127,2025-06-08
Sep04,116,2025-06-08
Oct04,117,2025-06-08
Nov04,117,2025-06-08
Dic04,119,2025-06-08
Ene05,118,2025-06-08
Feb05,120,2025-06-08
Mar05,121,2025-06-08
Abr05,118,2025-06-08
May05,118,2025-06-08
Jun05,121,2025-06-08
Jul05,129,2025-06-08
Ago05,118,2025-06-08
Sep05,118,2025-06-08
Oct05,125,2025-06-08
Nov05,117,2025-06-08
Dic05,126,2025-06-08
Ene06,124,2025-06-08
Feb06,129,2025-06-08
Mar06,125,2025-06-08
Abr06,129,2025-06-08
May06,135,2025-06-08
Jun06,129,2025-06-08
Jul06,136,2025-06-08
Ago06,138,2025-06-08
Sep06,145,2025-06-08
Oct06,172,2025-06-08
Nov06,190,2025-06-08
Dic06,185,2025-06-08
Ene07,195,2025-06-08
Feb07,204,2025-06-08
Mar07,187,2025-06-08
Abr07,177,2025-06-08
May07,185,2025-06-08
Jun07,185,2025-06-08
Jul07,167,2025-06-08
Ago07,177,2025-06-08
Sep07,194,2025-06-08
Oct07,199,2025-06-08
Nov07,207,2025-06-08
Dic07,227,2025-06-08
Ene08,241,2025-06-08
Feb08,254,2025-06-08
Mar08,257,2025-06-08
Abr08,270,2025-06-08
May08,264,2025-06-08
Jun08,326,2025-06-08
Jul08,271,2025-06-08
Ago08,272,2025-06-08
Sep08,256,2025-06-08
Oct08,202,2025-06-08
Nov08,183,2025-06-08
Dic08,195,2025-06-08
Ene09,197,2025-06-08
Feb09,180,2025-06-08
Mar09,194,2025-06-08
Abr09,191,2025-06-08
May09,209,2025-06-08
Jun09,197,2025-06-08
Jul09,180,2025-06-08
Ago09,181,2025-06-08
Sep09,185,2025-06-08
Oct09,203,2025-06-08
Nov09,202,2025-06-08
Dic09,207,2025-06-08
Ene10,192,2025-06-08
Feb10,190,2025-06-08
Mar10,183,2025-06-08
Abr10,186,2025-06-08
May10,188,2025-06-08
Jun10,182,2025-06-08
Jul10,196,2025-06-08
Ago10,220,2025-06-08
Sep10,260,2025-06-08
Oct10,280,2025-06-08
Nov10,260,2025-06-08
Dic10,285,2025-06-08
Ene11,299,2025-06-08
Feb11,325,2025-06-08
Mar11,313,2025-06-08
Abr11,343,2025-06-08
May11,342,2025-06-08
Jun11,318,2025-06-08
