Entidad,"Tasa de Rendimiento Efectivo Anual (TREA)
(%)",DEPARTAMENTO,TIPO_DE_PRODUCTO,PRODUCTO,CONDICION,FECHA,TREA Mínima S/,TREA Máxima S/,TREA Mínima US$,TREA Máxima US$,"Tasa de Rendimiento
Efectivo Anual
(TREA) (%)",Tasa de Rendimiento Efectivo Anual (TREA) (%)
CMAC PAITA,0.25,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC MAYNAS,0.25,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC AREQUIPA,0.25,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
MIBANCO,0.25,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
INTERBANK,0.2,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
BANCO DE CREDITO,0.1,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC CUSCO,0.01,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC PIURA,-1.03,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC PAITA,0.3,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC MAYNAS,0.25,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC PIURA,0.15,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC AREQUIPA,0.15,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC TRUJILLO,0.1,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC HUANCAYO,0.1,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CRAC LOS ANDES,0.08,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
FINANCIERA CONFIANZA,0.01,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
BANCO DE CREDITO,0,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
BBVA,0,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
MIBANCO,0,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
MIBANCO,1,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC PAITA,0.75,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC MAYNAS,0.5,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC AREQUIPA,0.3,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC CUSCO,0.3,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
BANCO DE CREDITO,0.25,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC PIURA,-3.79,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
FINANCIERA EFECTIVA,5,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
BANCO PICHINCHA,4,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CRAC LOS ANDES,2,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC PAITA,1.1,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
FINANCIERA CONFIANZA,0.75,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC TRUJILLO,0.6,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC MAYNAS,0.5,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC PIURA,0.35,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC HUANCAYO,0.3,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
CMAC AREQUIPA,0.3,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
BANCO DE CREDITO,0,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
BBVA,0,AMAZONAS,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,24-06-2025,,,,,,
