fecha_consulta,Moneda,Compra,Venta
2025-06-08,Dólar de N.A.,3.642,3.651
2025-06-08,Dólar Canadiense,2.464,2.751
2025-06-08,Libra Esterlina,4.8,5.094
2025-06-08,Yen Japonés,0.025,
2025-06-08,Peso Mexicano,0.19,0.191
2025-06-08,Franco Suizo,4.194,4.458
2025-06-08,Euro,3.907,4.302
2025-06-15,Dólar de N.A.,3.611,3.618
2025-06-15,Dólar Australiano,,2.594
2025-06-15,Dólar Canadiense,,2.68
2025-06-15,Peso Chileno,0.003,
2025-06-15,Libra Esterlina,4.938,5.108
2025-06-15,Yen Japonés,0.025,
2025-06-15,Peso Mexicano,0.189,0.196
2025-06-15,Euro,4.054,4.401
2025-06-15,Dólar de N.A.,3.611,3.618
2025-06-15,Dólar Australiano,,2.594
2025-06-15,Dólar Canadiense,,2.68
2025-06-15,Peso Chileno,0.003,
2025-06-15,Libra Esterlina,4.938,5.108
2025-06-15,Yen Japonés,0.025,
2025-06-15,Peso Mexicano,0.189,0.196
2025-06-15,Euro,4.054,4.401
2025-06-16,Dólar de N.A.,3.611,3.618
2025-06-16,Dólar Australiano,,2.594
2025-06-16,Dólar Canadiense,,2.68
2025-06-16,Peso Chileno,0.003,
2025-06-16,Libra Esterlina,4.938,5.108
2025-06-16,Yen Japonés,0.025,
2025-06-16,Peso Mexicano,0.189,0.196
2025-06-16,Euro,4.054,4.401
2025-06-17,Dólar de N.A.,3.604,3.614
2025-06-17,Dólar Canadiense,2.46,2.67
2025-06-17,Peso Chileno,0.003,
2025-06-17,Libra Esterlina,4.798,4.971
2025-06-17,Peso Mexicano,0.19,0.198
2025-06-17,Euro,3.905,4.471
2025-06-18,Dólar de N.A.,3.609,3.62
2025-06-18,Dólar Canadiense,2.54,2.671
2025-06-18,Peso Chileno,0.003,
2025-06-18,Libra Esterlina,4.697,5.037
2025-06-18,Peso Mexicano,0.189,0.191
2025-06-18,Franco Suizo,4.196,4.449
2025-06-18,Euro,3.908,4.372
2025-06-19,Dólar de N.A.,3.596,3.604
2025-06-19,Dólar Australiano,,2.58
2025-06-19,Dólar Canadiense,2.488,
2025-06-19,Peso Chileno,0.003,
2025-06-19,Libra Esterlina,4.524,5.136
2025-06-19,Yen Japonés,0.025,
2025-06-19,Peso Mexicano,0.189,0.19
2025-06-19,Franco Suizo,4.12,4.55
2025-06-19,Euro,3.88,4.399
